192.168.173.96 - - [05/May/2015:19:16:15 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/login.js HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:16:15 +0530] "GET /newmoodle/img/picto_navigation.png HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:16:15 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:16:15 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:16:34 +0530] "GET /newmoodle/login2.jsp HTTP/1.1" 200 14696
192.168.173.96 - - [05/May/2015:19:16:34 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/selectname.js HTTP/1.1" 404 1045
192.168.173.96 - - [05/May/2015:19:17:01 +0530] "POST /newmoodle/login HTTP/1.1" 200 27
192.168.173.96 - - [05/May/2015:19:17:17 +0530] "POST /newmoodle/student_signup HTTP/1.1" 500 1501
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:02 +0530] "GET /newmoodle/home.jsp HTTP/1.1" 200 14598
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:03 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:03 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:03 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:03 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:03 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:03 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/insert.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:03 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:03 +0530] "GET /newmoodle/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:03 +0530] "GET /newmoodle/img/itm1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:03 +0530] "GET /newmoodle/img/Capture1.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:03 +0530] "GET /newmoodle/img/itm2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:03 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:32 +0530] "GET /newmoodle/login2.jsp HTTP/1.1" 200 14696
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:32 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/selectname.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:40 +0530] "GET /newmoodle/First.jsp HTTP/1.1" 200 5493
0:0:0:0:0:0:0:1 - - [05/May/2015:19:19:40 +0530] "GET /newmoodle/validate.js HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [05/May/2015:19:21:58 +0530] "GET /newmoodle/login2.jsp HTTP/1.1" 200 14696
0:0:0:0:0:0:0:1 - - [05/May/2015:19:21:59 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validate.js HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [05/May/2015:19:21:59 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/insert.js HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [05/May/2015:19:21:59 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/login.js HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [05/May/2015:19:21:59 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/changePasssword.js HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [05/May/2015:19:21:59 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/selectname.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [05/May/2015:19:24:45 +0530] "GET /newmoodle/login2.jsp HTTP/1.1" 200 14696
0:0:0:0:0:0:0:1 - - [05/May/2015:19:24:45 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/selectname.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [05/May/2015:19:25:58 +0530] "GET /newmoodle/login2.jsp HTTP/1.1" 200 14700
0:0:0:0:0:0:0:1 - - [05/May/2015:19:25:58 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:25:58 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:25:58 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:25:58 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validate.js HTTP/1.1" 304 -
